country,country_kr,flag,region,bigmac_price_usd,gdp_per_capita_usd,bigmac_affordability_index,signature_menu,gdp_year,price_data_date,source,menu_image_url,image_verified
Switzerland,스위스,🇨🇭,europe,7.99,,,Mushroom & Swiss Burger,2023,2025-01-01,The Economist Big Mac Index,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/384a5aa2c49829ba0133324765ec761f63dd5b6e.jpg,TRUE
Argentina,아르헨티나,🇦🇷,americas,6.95,,,McNifica,2023,2025-01-01,The Economist Big Mac Index,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRERkGm6WfrJApZ6VFfCutAAs2V5s1xGn94gNp3MWh_vA&s,FALSE
Uruguay,우루과이,🇺🇾,americas,6.91,,,McCheddar Bacon,2023,2025-01-01,The Economist Big Mac Index,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5WXZ3eUBpVB0p6FptWMtbRH9TaBwp4DG8o6pMm31NSprXClM5c3TkF5SO&s=10,FALSE
Norway,노르웨이,🇳🇴,europe,6.67,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Euro area,유로존,🇪🇺,europe,5.95,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Costa Rica,코스타리카,🇨🇷,americas,5.9,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
United States,미국,🇺🇸,americas,5.79,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,TRUE
Britain,영국,🇬🇧,europe,5.73,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Sweden,스웨덴,🇸🇪,europe,5.67,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Denmark,덴마크,🇩🇰,europe,5.49,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Canada,캐나다,🇨🇦,americas,5.43,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Lebanon,레바논,🇱🇧,middle-east,5.36,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Turkey,튀르키예,🇹🇷,europe,5.32,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Poland,폴란드,🇵🇱,europe,5.21,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Colombia,콜롬비아,🇨🇴,americas,5.17,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Singapore,싱가포르,🇸🇬,asia,5.17,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Saudi Arabia,사우디아라비아,🇸🇦,middle-east,5.07,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
United Arab Emirates,아랍에미리트,🇦🇪,middle-east,4.9,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Australia,호주,🇦🇺,oceania,4.87,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
New Zealand,뉴질랜드,🇳🇿,oceania,4.77,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Israel,이스라엘,🇮🇱,middle-east,4.71,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Mexico,멕시코,🇲🇽,americas,4.6,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Czech Republic,체코,🇨🇿,europe,4.56,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Chile,칠레,🇨🇱,americas,4.55,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Kuwait,쿠웨이트,🇰🇼,middle-east,4.54,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Peru,페루,🇵🇪,americas,4.53,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Bahrain,바레인,🇧🇭,middle-east,4.51,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Nicaragua,니카라과,🇳🇮,americas,4.48,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Venezuela,베네수엘라,🇻🇪,americas,4.45,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Honduras,온두라스,🇭🇳,americas,4.12,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Qatar,카타르,🇶🇦,middle-east,4.12,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
Brazil,브라질,🇧🇷,americas,4.03,,,X-Salada,2023,2025-01-01,The Economist Big Mac Index,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/856a20ffdaf4dd05824240c9e3bc55c4c84457c0.jpg,TRUE
Guatemala,과테말라,🇬🇹,americas,4.01,,,Big Mac,2023,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,FALSE
