country,country_kr,flag,region,bigmac_price_usd,gdp_per_capita_usd,bigmac_affordability_index,signature_menu,gdp_year,price_data_date,source,menu_image_url,image_verified
Switzerland,스위스,🇨🇭,europe,7.99,114769.0,14364.1,Mushroom & Swiss Burger,2025,2025-01-01,The Economist Big Mac Index,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/384a5aa2c49829ba0133324765ec761f63dd5b6e.jpg,True
Argentina,아르헨티나,🇦🇷,americas,6.95,14898.1,2143.6,McNifica,2025,2025-01-01,The Economist Big Mac Index,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRERkGm6WfrJApZ6VFfCutAAs2V5s1xGn94gNp3MWh_vA&s,False
Uruguay,우루과이,🇺🇾,americas,6.91,25215.8,3649.2,McCheddar Bacon,2025,2025-01-01,The Economist Big Mac Index,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5WXZ3eUBpVB0p6FptWMtbRH9TaBwp4DG8o6pMm31NSprXClM5c3TkF5SO&s=10,False
Norway,노르웨이,🇳🇴,europe,6.67,94594.2,14182.0,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Euro area,유로존,🇪🇺,europe,5.95,50214.1,8439.3,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Costa Rica,코스타리카,🇨🇷,americas,5.9,19970.1,3384.8,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
United States,미국,🇺🇸,americas,5.79,90026.5,15548.6,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,True
Britain,영국,🇬🇧,europe,5.73,57602.0,10052.7,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Sweden,스웨덴,🇸🇪,europe,5.67,63133.2,11134.6,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Denmark,덴마크,🇩🇰,europe,5.49,76970.2,14020.1,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Canada,캐나다,🇨🇦,americas,5.43,55697.7,10257.4,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Lebanon,레바논,🇱🇧,middle-east,5.36,4473.3,834.6,Big Mac,2024,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Turkey,튀르키예,🇹🇷,europe,5.32,18599.4,3496.1,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Poland,폴란드,🇵🇱,europe,5.21,28419.6,5454.8,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Colombia,콜롬비아,🇨🇴,americas,5.17,8561.6,1656.0,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Singapore,싱가포르,🇸🇬,asia,5.17,98814.0,19113.0,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Saudi Arabia,사우디아라비아,🇸🇦,middle-east,5.07,34536.7,6812.0,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
United Arab Emirates,아랍에미리트,🇦🇪,middle-east,4.9,50273.5,10259.9,Big Mac,2024,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Australia,호주,🇦🇺,oceania,4.87,65129.7,13373.7,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
New Zealand,뉴질랜드,🇳🇿,oceania,4.77,49591.0,10396.4,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Israel,이스라엘,🇮🇱,middle-east,4.71,60336.8,12810.4,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Mexico,멕시코,🇲🇽,americas,4.6,13889.2,3019.4,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
Czech Republic,체코,🇨🇿,europe,4.56,35917.3,7876.6,Big Mac,2025,2025-01-01,The Economist Big Mac Index,https://upload.wikimedia.org/wikipedia/commons/4/4d/Big_Mac.png,False
